country,location_name,n_obs,first_obs,last_obs
Burundi,Bujumbura,791,2024-05-16 10:45:00,2026-07-17 07:45:00
Ukraine,Kyiv,791,2024-05-16 11:45:00,2026-07-17 09:00:00
Yemen,Sanaa,791,2024-05-16 11:45:00,2026-07-17 09:00:00
Chad,N'djamena,791,2024-05-16 09:45:00,2026-07-17 06:45:00
Ghana,Accra,791,2024-05-16 08:45:00,2026-07-17 05:45:00
Vatican City,Vatican City,791,2024-05-16 10:45:00,2026-07-17 07:45:00
Eritrea,Asmara,791,2024-05-16 11:45:00,2026-07-17 08:45:00
Equatorial Guinea,Malabo,791,2024-05-16 09:45:00,2026-07-17 07:00:00
Malta,Valletta,791,2024-05-16 10:45:00,2026-07-17 07:45:00
Uzbekistan,Tashkent,791,2024-05-16 13:45:00,2026-07-17 10:45:00
Iraq,Baghdad,791,2024-05-16 11:45:00,2026-07-17 08:45:00
Japan,Tokyo,791,2024-05-16 17:45:00,2026-07-17 14:45:00
Senegal,Dakar,791,2024-05-16 08:45:00,2026-07-17 05:45:00
Poland,Warsaw,791,2024-05-16 10:45:00,2026-07-17 07:45:00
Singapore,Singapore,790,2024-05-16 16:45:00,2026-07-17 14:00:00
United Arab Emirates,Abu Dhabi,790,2024-05-16 12:45:00,2026-07-17 09:45:00
Uganda,Kampala,790,2024-05-16 11:45:00,2026-07-17 08:45:00
Zambia,Lusaka,790,2024-05-16 10:45:00,2026-07-17 08:00:00
Afghanistan,Kabul,790,2024-05-16 13:15:00,2026-07-17 10:15:00
South Africa,Pretoria,790,2024-05-16 10:45:00,2026-07-17 08:00:00
Slovakia,Bratislava,790,2024-05-16 10:45:00,2026-07-17 07:45:00
Serbia,Belgrade,790,2024-05-16 10:45:00,2026-07-17 07:45:00
Cape Verde,Praia,790,2024-05-16 07:45:00,2026-07-17 05:00:00
Netherlands,Amsterdam,790,2024-05-16 10:45:00,2026-07-17 07:45:00
Mozambique,Maputo,790,2024-05-16 10:45:00,2026-07-17 07:45:00
Tuvalu,Funafuti,790,2024-05-16 20:45:00,2026-07-17 18:00:00
Angola,Luanda,790,2024-05-16 09:45:00,2026-07-17 06:45:00
Bosnia and Herzegovina,Sarajevo,790,2024-05-16 10:45:00,2026-07-17 07:45:00
Burkina Faso,Ouagadougou,790,2024-05-16 08:45:00,2026-07-17 05:45:00
Solomon Islands,Honiara,790,2024-05-16 19:45:00,2026-07-17 17:00:00
Slovenia,Ljubljana,790,2024-05-16 10:45:00,2026-07-17 07:45:00
Spain,Madrid,790,2024-05-16 10:45:00,2026-07-17 07:45:00
Sri Lanka,Colombo,790,2024-05-16 14:15:00,2026-07-17 11:30:00
Switzerland,Bern,790,2024-05-16 10:45:00,2026-07-17 08:00:00
Andorra,Andorra La Vella,790,2024-05-16 10:45:00,2026-07-17 07:45:00
Italy,Rome,790,2024-05-16 10:45:00,2026-07-17 08:00:00
Jordan,Amman,790,2024-05-16 11:45:00,2026-07-17 08:45:00
Germany,Berlin,790,2024-05-16 10:45:00,2026-07-17 07:45:00
Hungary,Budapest,790,2024-05-16 10:45:00,2026-07-17 08:00:00
Vanuatu,Port Vila,790,2024-05-16 19:45:00,2026-07-17 16:45:00
Bahrain,Manama,790,2024-05-16 11:45:00,2026-07-17 09:00:00
Armenia,Yerevan,790,2024-05-16 12:45:00,2026-07-17 09:45:00
Indonesia,Jakarta,790,2024-05-16 15:45:00,2026-07-17 12:45:00
Madagascar,Antananarivo,790,2024-05-16 11:45:00,2026-07-17 09:00:00
Malawi,Lilongwe,790,2024-05-16 10:45:00,2026-07-17 07:45:00
Kenya,Nairobi,790,2024-05-16 11:45:00,2026-07-17 08:45:00
Finland,Helsinki,790,2024-05-16 11:45:00,2026-07-17 09:00:00
Niger,Niamey,790,2024-05-16 09:45:00,2026-07-17 07:00:00
Nigeria,Abuja,790,2024-05-16 09:45:00,2026-07-17 06:45:00
Russia,Moscow,790,2024-05-16 11:45:00,2026-07-17 08:45:00
Rwanda,Kigali,790,2024-05-16 10:45:00,2026-07-17 07:45:00
Fiji Islands,Suva,790,2024-05-16 20:45:00,2026-07-17 18:00:00
Marshall Islands,Majuro,790,2024-05-16 20:45:00,2026-07-17 18:00:00
Papua New Guinea,Port Moresby,790,2024-05-16 18:45:00,2026-07-17 15:45:00
Cyprus,Nicosia,790,2024-05-16 11:45:00,2026-07-17 08:45:00
Namibia,Windhoek,790,2024-05-16 10:45:00,2026-07-17 07:45:00
Oman,Muscat,790,2024-05-16 12:45:00,2026-07-17 10:00:00
Tanzania,Dodoma,789,2024-05-16 11:45:00,2026-07-17 09:00:00
Central African Republic,Bangui,789,2024-05-16 09:45:00,2026-07-17 07:00:00
Botswana,Gaborone,789,2024-05-16 10:45:00,2026-07-17 07:45:00
Bulgaria,Sofia,789,2024-05-16 11:45:00,2026-07-17 09:00:00
Turkmenistan,Ashgabat,789,2024-05-16 13:45:00,2026-07-17 10:45:00
Albania,Tirana,789,2024-05-16 10:45:00,2026-07-17 07:45:00
Sweden,Stockholm,789,2024-05-16 10:45:00,2026-07-17 07:45:00
Benin,Porto-Novo,789,2024-05-16 09:45:00,2026-07-17 06:45:00
Thailand,Nan,789,2024-05-16 15:45:00,2026-07-17 13:00:00
Thailand,Bangkok,789,2024-05-16 15:45:00,2026-07-17 12:45:00
South Korea,Seoul,789,2024-05-16 17:45:00,2026-07-17 14:45:00
Syria,Damascus,789,2024-05-16 11:45:00,2026-07-17 08:45:00
Malaysia,Kuala Lumpur,789,2024-05-16 16:45:00,2026-07-17 14:00:00
Gabon,Libreville,789,2024-05-16 09:45:00,2026-07-17 07:00:00
Mauritius,Port Louis,789,2024-05-16 12:45:00,2026-07-17 09:45:00
Mali,Bamako,789,2024-05-16 08:45:00,2026-07-17 05:45:00
France,Paris,789,2024-05-16 10:45:00,2026-07-17 07:45:00
Nepal,Kathmandu,789,2024-05-16 14:30:00,2026-07-17 11:45:00
Denmark,Copenhagen,789,2024-05-16 10:45:00,2026-07-17 07:45:00
Portugal,Lisbon,789,2024-05-16 09:45:00,2026-07-17 06:45:00
Saudi Arabia,Riyadh,789,2024-05-16 11:45:00,2026-07-17 09:00:00
Saint Lucia,Castries,789,2024-05-16 04:45:00,2026-07-17 01:45:00
New Zealand,Wellington,789,2024-05-16 20:45:00,2026-07-17 17:45:00
Mongolia,Ulaanbaatar,789,2024-05-16 16:45:00,2026-07-17 14:00:00
Mauritania,Nouakchott,789,2024-05-16 08:45:00,2026-07-17 06:00:00
Guinea,Conakry,789,2024-05-16 08:45:00,2026-07-17 06:00:00
Kazakhstan,Astana,789,2024-05-16 13:45:00,2026-07-17 11:00:00
Kyrghyzstan,Bishkek,789,2024-05-16 14:45:00,2026-07-17 12:00:00
Lebanon,Beirut,789,2024-05-16 11:45:00,2026-07-17 08:45:00
Lithuania,Vilnius,789,2024-05-16 11:45:00,2026-07-17 09:00:00
Liechtenstein,Vaduz,789,2024-05-16 10:45:00,2026-07-17 07:45:00
Liberia,Monrovia,789,2024-05-16 08:45:00,2026-07-17 05:45:00
Guinea-Bissau,Bissau,789,2024-05-16 08:45:00,2026-07-17 06:00:00
Israel,Jerusalem,789,2024-05-16 11:45:00,2026-07-17 08:45:00
Vietnam,Hanoi,789,2024-05-16 15:45:00,2026-07-17 12:45:00
Iran,Tehran,789,2024-05-16 12:15:00,2026-07-17 09:15:00
Belarus,Minsk,789,2024-05-16 11:45:00,2026-07-17 08:45:00
Uruguay,Montevideo,789,2024-05-16 05:45:00,2026-07-17 03:00:00
Bangladesh,Dhaka,789,2024-05-16 14:45:00,2026-07-17 11:45:00
Azerbaijan,Baku,789,2024-05-16 12:45:00,2026-07-17 09:45:00
Austria,Vienna,789,2024-05-16 10:45:00,2026-07-17 08:00:00
Australia,Canberra,789,2024-05-16 18:45:00,2026-07-17 15:45:00
Argentina,Buenos Aires,788,2024-05-16 05:45:00,2026-07-17 02:45:00
Belgium,Brussels,788,2024-05-16 10:45:00,2026-07-17 07:45:00
Barbados,Bridgetown,788,2024-05-16 04:45:00,2026-07-17 01:45:00
United Kingdom,London,788,2024-05-16 09:45:00,2026-07-17 07:00:00
Indonesia,Laos,788,2024-05-16 15:45:00,2026-07-17 13:00:00
India,New Delhi,788,2024-05-16 14:15:00,2026-07-17 11:15:00
Venezuela,Caracas,788,2024-05-16 04:45:00,2026-07-17 02:00:00
Kuwait,Kuwait City,788,2024-05-16 11:45:00,2026-07-17 08:45:00
Latvia,Riga,788,2024-05-16 11:45:00,2026-07-17 09:00:00
Lesotho,Maseru,788,2024-05-16 10:45:00,2026-07-17 07:45:00
Kiribati,Tarawa,788,2024-05-16 20:45:00,2026-07-17 17:45:00
Saint Kitts and Nevis,Basseterre,788,2024-05-16 04:45:00,2026-07-17 01:45:00
Somalia,Mogadishu,788,2024-05-16 11:45:00,2026-07-17 09:00:00
Sudan,Khartoum,788,2024-05-16 10:45:00,2026-07-17 08:00:00
Canada,Ottawa,788,2024-05-16 04:45:00,2026-07-17 02:00:00
Tunisia,Tunis,788,2024-05-16 09:45:00,2026-07-17 06:45:00
Romania,Bucharest,788,2024-05-16 11:45:00,2026-07-17 09:00:00
Philippines,Manila,788,2024-05-16 16:45:00,2026-07-17 13:45:00
Czech Republic,Prague,788,2024-05-16 10:45:00,2026-07-17 07:45:00
Qatar,Doha,788,2024-05-16 11:45:00,2026-07-17 08:45:00
Montenegro,Podgorica,788,2024-05-16 10:45:00,2026-07-17 07:45:00
Norway,Oslo,788,2024-05-16 10:45:00,2026-07-17 07:45:00
North Korea,Pyongyang,788,2024-05-16 17:45:00,2026-07-17 15:00:00
Pakistan,Islamabad,788,2024-05-16 13:45:00,2026-07-17 11:00:00
Morocco,Rabat,788,2024-05-16 09:45:00,2026-07-17 06:45:00
Estonia,Tallinn,788,2024-05-16 11:45:00,2026-07-17 09:00:00
Egypt,Cairo,788,2024-05-16 11:45:00,2026-07-17 09:00:00
Zimbabwe,Harare,788,2024-05-16 10:45:00,2026-07-17 08:00:00
Brunei Darussalam,Bandar Seri Begawan,788,2024-05-16 16:45:00,2026-07-17 13:45:00
Algeria,Algiers,788,2024-05-16 09:45:00,2026-07-17 06:45:00
Turkey,Ankara,788,2024-05-16 11:45:00,2026-07-17 08:45:00
Bhutan,Thimphu,788,2024-05-16 14:45:00,2026-07-17 11:45:00
Tajikistan,Dushanbe,788,2024-05-16 13:45:00,2026-07-17 11:00:00
Ethiopia,Addis Ababa,787,2024-05-16 11:45:00,2026-07-17 08:45:00
Comoros,Moroni,787,2024-05-16 11:45:00,2026-07-17 08:45:00
Djibouti,Djibouti,787,2024-05-16 11:45:00,2026-07-17 09:00:00
Croatia,Zagreb,787,2024-05-16 10:45:00,2026-07-17 07:45:00
Georgia,Tbilisi,787,2024-05-16 12:45:00,2026-07-17 10:00:00
Micronesia,Palikir,787,2024-05-16 19:45:00,2026-07-17 16:45:00
Panama,Panama City,787,2024-05-16 03:45:00,2026-07-17 00:45:00
Dominican Republic,Santo Domingo,787,2024-05-16 04:45:00,2026-07-17 02:00:00
Congo,Brazzaville,787,2024-05-16 09:45:00,2026-07-17 06:45:00
Democratic Republic of Congo,Kinshasa,787,2024-05-16 09:45:00,2026-07-17 06:45:00
Ireland,Dublin,787,2024-05-16 09:45:00,2026-07-17 07:00:00
Luxembourg,Luxembourg,787,2024-05-16 10:45:00,2026-07-17 07:45:00
Haiti,Port-Au-Prince,787,2024-05-16 04:45:00,2026-07-17 01:45:00
Chile,Santiago,787,2024-05-16 04:45:00,2026-07-17 01:45:00
Cambodia,Phnom Penh,787,2024-05-16 15:45:00,2026-07-17 13:00:00
Sierra Leone,Freetown,787,2024-05-16 08:45:00,2026-07-17 05:45:00
Turkey,Yaren,787,2024-05-16 11:45:00,2026-07-17 08:45:00
Sudan,Juba,787,2024-05-16 10:45:00,2026-07-17 07:45:00
Trinidad and Tobago,Port Of Spain,787,2024-05-16 04:45:00,2026-07-17 02:00:00
China,Beijing,787,2024-05-16 16:45:00,2026-07-17 13:45:00
Suriname,Paramaribo,787,2024-05-16 05:45:00,2026-07-17 03:00:00
Saint Vincent and the Grenadines,Kingstown,787,2024-05-16 04:45:00,2026-07-17 01:45:00
Seychelles Islands,Victoria,787,2024-05-16 12:45:00,2026-07-17 10:00:00
Timor-Leste,Dili,786,2024-05-16 17:45:00,2026-07-17 15:00:00
Guyana,Georgetown,786,2024-05-16 04:45:00,2026-07-17 02:00:00
Greece,Athens,786,2024-05-16 11:45:00,2026-07-17 08:45:00
Gambia,Banjul,786,2024-05-16 08:45:00,2026-07-17 05:45:00
Mexico,Mexico City,786,2024-05-16 02:45:00,2026-07-16 23:45:00
Cuba,Havana,786,2024-05-16 04:45:00,2026-07-17 01:45:00
Antigua and Barbuda,Saint John's,786,2024-05-16 04:45:00,2026-07-17 02:00:00
Tonga,Nuku`Aloia,786,2024-05-16 21:45:00,2026-07-17 19:00:00
Dominica,Roseau,786,2024-05-16 04:45:00,2026-07-17 02:00:00
Monaco,Monaco,786,2024-05-16 10:45:00,2026-07-17 08:00:00
San Marino,San Marino,786,2024-05-16 10:45:00,2026-07-17 07:45:00
Belize,Belmopan,785,2024-05-16 02:45:00,2026-07-16 23:45:00
Ecuador,Quito,785,2024-05-16 03:45:00,2026-07-17 00:45:00
Honduras,Tegucigalpa,785,2024-05-16 02:45:00,2026-07-16 23:45:00
Peru,Lima,785,2024-05-16 03:45:00,2026-07-17 01:00:00
Macedonia,Skopje,784,2024-05-16 10:45:00,2026-07-17 08:00:00
Grenada,Saint George's,784,2024-05-16 04:45:00,2026-07-17 02:00:00
Bolivia,Sucre,784,2024-05-16 04:45:00,2026-07-17 01:45:00
Bahamas,Nassau,784,2024-05-16 04:45:00,2026-07-17 01:45:00
Nicaragua,Managua,784,2024-05-16 02:45:00,2026-07-17 00:00:00
Bolivia,National,784,2024-05-16 04:45:00,2026-07-17 02:00:00
Samoa,Apia,784,2024-05-16 21:45:00,2026-07-17 19:00:00
Brazil,Bras,784,2024-05-16 04:45:00,2026-07-17 02:00:00
Guatemala,Guatemala City,783,2024-05-16 02:45:00,2026-07-17 00:00:00
El Salvador,San Salvador,783,2024-05-16 02:45:00,2026-07-17 00:00:00
United States of America,Washington Harbor,764,2024-05-31 07:15:00,2026-07-16 22:45:00
Maldives,Dhidhdhoo,751,2024-06-20 18:45:00,2026-07-17 10:45:00
Iran,Chi Chi Khvar,746,2024-05-16 12:15:00,2026-07-17 09:30:00
Swaziland,Mbabane,745,2024-05-16 10:45:00,2026-06-04 08:00:00
Bulgaria,Bogot,670,2024-05-16 11:45:00,2026-07-17 08:45:00
Madagascar,Ivory,458,2024-05-16 11:45:00,2025-08-20 12:30:00
Costa Rica,San Ignacio,439,2024-05-31 08:15:00,2025-08-20 03:15:00
Belgium,'S Gravenjansdijk,431,2024-05-31 16:15:00,2025-08-20 11:15:00
Cameroon,Ngaoundere,424,2024-06-20 14:45:00,2025-08-20 10:30:00
Myanmar,Yangon,424,2024-06-20 20:15:00,2025-08-20 16:00:00
Iceland,Vestmannaeyjar,424,2024-06-20 13:45:00,2025-08-20 09:15:00
Paraguay,Aurora,423,2024-06-20 10:45:00,2025-08-20 06:30:00
Jamaica,Port Royal,420,2024-06-20 08:45:00,2025-08-20 04:30:00
Vietnam,Ban Lom,411,2024-06-22 20:45:00,2025-08-20 16:30:00
Palau,Airai,371,2024-08-15 21:15:00,2025-08-20 18:30:00
Bulgaria,Lom,351,2024-05-16 11:45:00,2026-07-17 09:00:00
Palau,Koror,338,2024-06-20 22:45:00,2026-06-03 15:00:00
Cote d'Ivoire,Yamoussoukro,328,2025-08-21 08:00:00,2026-07-17 05:45:00
Myanmar,Rangoon,307,2024-05-31 20:45:00,2026-06-04 12:45:00
Jamaica,Kingston,303,2024-06-25 08:15:00,2026-07-16 00:45:00
Cameroon,Douala,288,2024-06-25 14:15:00,2026-06-04 07:15:00
Iceland,Reykjavik,285,2024-06-25 13:15:00,2026-06-04 06:15:00
Costa Rica,San Jose,284,2025-08-21 02:15:00,2026-06-03 00:00:00
Belgium,'S-Gravenbrakel,237,2025-08-22 10:00:00,2026-07-17 08:00:00
Paraguay,Aguaray,178,2025-08-21 05:00:00,2026-04-26 03:30:00
Hungary,Bogot,117,2025-08-31 10:00:00,2026-07-12 07:45:00
Paraguay,Garrapata,101,2025-08-22 04:45:00,2026-07-16 02:45:00
Switzerland,S-Chanf,50,2025-08-21 10:00:00,2026-05-27 08:30:00
Senegal,Mbabane,43,2026-06-05 06:15:00,2026-07-17 06:00:00
Iceland,Abaer,43,2026-06-05 06:15:00,2026-07-17 05:45:00
Costa Rica,San Andres,43,2026-06-05 00:15:00,2026-07-16 23:45:00
Vietnam,S. Manian,42,2025-12-28 14:15:00,2026-04-27 13:30:00
Russia,Chi-Chi-Erh,41,2025-12-21 14:00:00,2026-04-18 13:30:00
Iceland,Grindavik,36,2024-05-16 08:45:00,2024-06-19 13:45:00
Jamaica,Norman Gardens,36,2024-05-16 03:45:00,2024-06-19 08:45:00
Paraguay,Sartorio,35,2026-02-20 04:00:00,2026-07-17 03:00:00
Maldives,Felidhoo,34,2024-05-16 13:45:00,2024-06-17 19:00:00
Palau,Aakip,31,2026-06-06 15:00:00,2026-07-16 14:45:00
Cameroon,Aba,29,2026-06-05 07:15:00,2026-07-17 07:00:00
Paraguay,Carreria,25,2024-05-31 10:15:00,2026-04-27 03:30:00
Paraguay,Pasto,25,2024-05-16 04:45:00,2024-06-19 09:45:00
Palau,Adkip,20,2024-05-31 23:15:00,2024-06-19 22:45:00
Cameroon,Bafoussam,18,2024-05-31 15:15:00,2024-06-19 14:45:00
Jamaica,Bournemouth Gardens,17,2026-06-05 01:00:00,2026-07-14 01:15:00
Cameroon,Yaounde,16,2024-05-16 09:45:00,2024-05-30 14:45:00
Belgium,'S Gravenstaffel,16,2024-05-16 10:45:00,2024-05-30 16:00:00
United States of America,Washington Park,16,2024-05-16 01:45:00,2024-05-30 06:45:00
Costa Rica,San Juan,16,2024-05-16 02:45:00,2024-05-30 07:45:00
Palau,Meyungs,16,2024-05-16 17:45:00,2024-05-30 23:00:00
Myanmar,Pathein,16,2024-05-16 15:15:00,2024-05-30 20:30:00
Myanmar,Yanngwa,15,2026-06-10 12:45:00,2026-07-13 12:30:00
Myanmar,Abazu,15,2026-06-07 12:30:00,2026-07-12 12:15:00
Cameroon,Ninga,14,2026-06-06 07:15:00,2026-07-15 07:00:00
Norway,Lom,13,2026-06-09 08:15:00,2026-07-16 07:45:00
Myanmar,Namawbin,13,2026-06-05 12:45:00,2026-07-17 12:30:00
Russia,Lom,12,2024-06-20 16:45:00,2024-07-12 16:00:00
Belgium,'S Gravenjansdyk,12,2024-06-02 16:00:00,2024-06-19 15:45:00
Palau,Achelap,12,2026-06-05 15:15:00,2026-07-17 15:00:00
Jamaica,Newport East,11,2026-06-07 01:15:00,2026-07-17 01:00:00
United States of America,New York,3,2024-06-25 09:15:00,2026-06-04 02:15:00
Maldives,Male,2,2024-06-25 18:15:00,2026-06-04 11:00:00
Brazil,Sao Paulo,2,2024-06-25 10:15:00,2026-06-04 03:00:00
Togo,Lome,2,2024-06-25 13:15:00,2026-06-04 06:15:00
Colombia,Bogota,2,2024-06-25 08:15:00,2026-06-04 01:15:00
Paraguay,Asuncion,2,2024-06-25 09:15:00,2026-06-04 03:15:00
Ethiopia,Addis Abeba,2,2024-06-25 16:15:00,2026-06-04 09:00:00
Kenya,Mombasa,2,2024-06-25 16:15:00,2026-06-04 09:15:00
Australia,Melbourne,2,2024-06-25 23:15:00,2026-06-04 16:15:00
Indonesia,Bali,2,2024-06-25 20:15:00,2026-06-04 13:00:00
Vietnam,Ho Chi Minh City,2,2024-06-25 20:15:00,2026-06-04 13:15:00
Indonesia,Surabaya,2,2024-06-25 20:15:00,2026-06-04 13:15:00
Lao People's Democratic Republic,Vientiane,2,2024-06-25 20:15:00,2026-06-04 13:00:00
Libya,Tripoli,2,2024-06-25 15:15:00,2026-06-04 08:00:00
Kosovo,Pristina,2,2024-06-25 15:15:00,2026-06-04 08:15:00
Cambodia,Phnum Penh,2,2024-06-25 20:15:00,2026-06-04 13:00:00
Tonga,Nuku'alofa,2,2024-06-26 02:15:00,2026-06-04 19:15:00
Komoren,Moroni,1,2024-07-13 16:00:00,2024-07-13 16:00:00
Kuwait,Kuwait,1,2024-07-13 16:00:00,2024-07-13 16:00:00
Jemen,Sanaa,1,2024-07-13 16:00:00,2024-07-13 16:00:00
United States of America,Grenada,1,2026-06-04 01:15:00,2026-06-04 01:15:00
United States of America,Moroni,1,2026-06-04 00:00:00,2026-06-04 00:00:00
United States of America,Palau,1,2026-06-04 15:15:00,2026-06-04 15:15:00
Inde,New Delhi,1,2024-07-13 18:30:00,2024-07-13 18:30:00
Letonia,Riga,1,2024-07-13 16:00:00,2024-07-13 16:00:00
Polônia,Moldova,1,2024-07-13 15:00:00,2024-07-13 15:00:00
Philippines,Kiyabo,1,2024-07-13 21:00:00,2024-07-13 21:00:00
Mexique,Mexico (Grupo Mexico),1,2024-07-13 06:00:00,2024-07-13 06:00:00
Marrocos,Morocco City,1,2024-07-13 14:00:00,2024-07-13 14:00:00
