,rf_impurity,permutation,ridge_abs_coef
abs_latitude,0.4180626353210352,0.7315351972022773,4.7954696595945085
uv_index,0.28103232158185454,0.33599172105013964,2.3467116980794938
pressure_mb,0.12420306761847613,0.20615414652084968,3.01636189667684
month,0.09789645510194893,0.21118662472416122,0.8336806161356493
humidity,0.043759723925953384,0.07714714824816986,2.169062755150295
air_quality_PM2.5,0.014642424961388569,0.015034890900566245,0.22302792512002698
wind_kph,0.009043529252297093,0.011499520372845429,0.3750675480728745
cloud,0.006481666418371193,0.007371749449477383,0.5901850902949162
visibility_km,0.00194272184585447,0.0010431221568276915,0.3778539805764881
precip_mm,0.0018343319783715956,0.001282759608115236,0.1175155499210207
day_of_week,0.0011011219944490227,6.765490937292729e-05,0.0702712637569184
